Protein_name	RBP_flag	seqSVM_score	seqDNN_score	PPI_score	PIA_score
A8K2M0	0	0.7921314392185762	0.31594279999999997	0.32129006542705985	0.2232875595948749
Q9Y6A9	0	0.2517004625008641	0.029197382	0.3055153292199394	0.7961395573284709
Q9UJW9	0	0.028503649439638807	0.031551138	0.2409468214747033	0.38192609009287903
Q96E11	1	0.3727604647987313	0.09636373	0.3928127161711575	0.8339906577917835
Q7Z4W8	0	0.8538182344622028	0.89335465	0.7693784968284446	0.8771391590989572
Q6XPR3	0	0.5445421745887945	0.054412298	0.532621021914628	0.6143818905736425
A8MUD9	1	0.8631668813197997	0.82064915	0.7629700044850946	0.8757112051107098
Q96CE8	0	0.00408878712890806	0.008666251	0.07495274951515499	0.06348907942656394
Q8IV45	0	0.026979638460232817	0.023325348	0.3635676094951212	0.15657180840274
Q9UBN4	0	0.21461583712624294	0.22934316	0.3375641128302363	0.12160712989550228
Q66PJ3	1	0.8248817923618351	0.9684165000000001	0.7377553259748929	0.8589094801302364
Q16877	0	0.21915309262226146	0.7188372	0.3698298765189719	0.3513056508768085
Q7Z5R6	0	0.8208997109037682	0.25116488	0.6474939213690705	0.6803539327524691
Q9UER7	1	0.4065723965415081	0.09751026	0.6155401692496538	0.6630099278227823
P63162	1	0.9084274065466792	0.9855261999999999	0.8216443742484834	0.8558008576162209
P47887	0	0.014507172459878138	0.015144448000000001	0.4723711385535456	0.12308618277677005
Q96JP9	0	0.8556605301080393	0.18206361	0.1527823322612353	0.11380209978861705
Q9Y2J4	0	0.7872377566443318	0.16442388	0.3339074373327228	0.31404493343944123
Q9NZ52	0	0.3404968496503532	0.03460246	0.41814710108302894	0.4151612052131719
Q96SA4	0	0.006106637629235532	0.0043917485	0.23044114219434286	0.185597595366034
Q96M32	0	0.8136454065062682	0.79134786	0.19488694691005312	0.16923602389926135
A0A0C4DGW6	0	0.16692717991034225	0.037513465	0.15594451583602076	0.06481578323974256
Q8TE99	0	0.1855001339630616	0.024213377	0.09916138448623027	0.019887876821150542
P30532	0	0.13477677415208858	0.025087817000000002	0.2835755094319836	0.16907904874235258
O95707	1	0.6019776439783531	0.9202696	0.8773198448123196	0.9379506682661218
O60729	0	0.2299235519209786	0.078110464	0.5280430314604807	0.370667965529454
P25774	0	0.4810498944821985	0.14887029	0.15509661319976445	0.11726970109901907
P25685	0	0.8380179816275686	0.5109129	0.7799422511554787	0.8678834471482164
Q6F5E8	0	0.2993221679728105	0.32429808	0.2728088773138277	0.590398165511729
Q9BVQ0	0	0.14985721841087607	0.040757187	0.15434558168844115	0.1758993953855097
Q7L1T6	0	0.7553955180248364	0.06435306	0.3603320186036348	0.13717493962468802
Q99871	0	0.3330706174787898	0.01852858	0.5782823754886512	0.6758820078859759
Q5T4T6	0	0.3123142195672249	0.034725673	0.1501383652484374	0.1428723659284795
Q7RTY5	0	0.037758760285697364	0.019641106999999998	0.15901412025843478	0.05774897046474022
B5MD87	0	0.238419697769874	0.038971554	0.22650733313470026	0.5244450470613404
Q5VZY2	0	0.14199304031036927	0.04078307	0.015635235182480826	0.006038006878855347
Q00610	1	0.928800258690646	0.40154618	0.8595515444218529	0.8595064124545004
Q8IZE3	0	0.13110249266249374	0.07682924	0.7401838348337467	0.7012372340668545
O95059	1	0.1170943430253148	0.05334823	0.5792283934577276	0.789679493554644
P20839	1	0.8450055518882936	0.18427363	0.5286270102230006	0.5924997512617012
Q7Z404	0	0.058337173588785186	0.012630805	0.18059785714725984	0.13308129561054066
O95954	0	0.2740599315126905	0.28586176	0.3070805706075125	0.38029147192777396
Q9Y6Y9	0	0.15428900624410458	0.70014966	0.17001040864052486	0.15102495618107087
Q7Z2W4	1	0.3008395988743981	0.47507864	0.8393701096240095	0.9431003716519476
Q96GR2	0	0.7900526138029434	0.038474467000000005	0.1527427318855911	0.1026771018368083
Q5SSQ6	0	0.1777059475102195	0.063988335	0.2404409961147295	0.2002656597077229
Q16585	0	0.5633072861311961	0.019923335	0.10261830933438072	0.03476697214132345
