	RBP_flag	seqSVM_score	seqDNN_score	BLAST_SeqOnly_score	PPI_score	PIA_score	y_ture	ProteinBERT_score	SVM_SeqOnly_NoSS_score	DNN_SeqOnly_NoSS_score
Q8IZF2	0	0.0079274429486435	0.156397	0.0	0.4926760491514672	0.7326759909074542	0.0	0.01281935	0.0376812739065971	0.09488992
Q9H6Q4	0	0.4359718501419037	0.0181419	0.0	0.3814129890081725	0.2382786122147648	0.0	0.4980095	0.237433402098554	0.8984738999999999
Q5TAX3	1	0.373902143760343	0.5419778000000001	0.5581395348837209	0.8272002730260799	0.9787990808059754	1.0	0.5989383	0.9596767508809289	0.2476062
Q86XA8	0	0.0170347276792075	0.0015450301999999	0.0108695652173913	0.147046438078551	0.1906785486070653	0.0	0.11671752	0.0410990899400956	0.004049952
P19883	0	0.0519487328852681	0.0433343459999999	0.0109890109890109	0.1301947002161391	0.0527267601526406	0.0	0.002861917	0.0912058728947432	0.14591551
C9JDE9	0	0.5972230018488033	0.78048867	0.3333333333333333	0.6613473479535233	0.7254239265406759	0.0	0.74920106	0.6877154166882559	0.06165688
Q02094	0	0.0063118709515101	0.2478772999999999	0.0	0.1247593333251913	0.0573461888067607	0.0	0.07985431	0.0577875246308706	0.0272182079999999
Q8N1K8	0	0.5417616304755525	0.21910362	0.0196078431372549	0.8786201076252118	0.895246122336657	0.0	0.07161611	0.4892396264123024	0.20432507
Q96FN9	0	0.7740694097240863	0.89129335	0.0	0.1336576030576896	0.1867447941906492	0.0	0.8395396999999999	0.461953112978832	0.11610093
Q9Y5S1	0	0.047999203335212	0.01719583	0.0186335403726708	0.2113723457909288	0.0723388180780328	0.0	0.015970945	0.1147040666670442	0.015303545
D6RAP2	0	0.0106411000391247	0.0025335224	0.0562913907284768	0.1271178384374872	0.1124832863670655	0.0	0.010120839	0.0061417534342915	0.14591551
Q5TGZ0	0	0.1159062556537947	0.019851996	0.0	0.644534829948165	0.4631285774824042	0.0	0.0035231113	0.1532852838001218	0.04893765
Q14671	1	0.470040957724259	0.9168016	0.6666666666666666	0.8976899799377964	0.9537084338392612	1.0	0.25644642	0.6307683105707511	0.029751806
Q99518	0	0.1108507429058736	0.017568486	0.125	0.1479702836315532	0.0636941366620999	0.0	0.2324139999999999	0.3853122045982816	0.098790884
Q96P63	0	0.1796177479296311	0.03313372	0.073170731707317	0.939544251661054	0.8924641277001708	0.0	0.042372793	0.2384968889872406	0.00408187
Q8ND30	0	0.5508940002834376	0.32054704	0.0865384615384615	0.3591228104610012	0.1908108845335718	0.0	0.044225305	0.4783421817917513	0.9834827
O94760	0	0.5316839871794278	0.84838957	0.1111111111111111	0.4090614175583087	0.2411925539770035	0.0	0.7050423000000001	0.4647368079809277	0.052861113
P07099	0	0.103870362840555	0.023997888	0.0	0.4237367079832101	0.3823770883409441	0.0	0.2713979	0.2785976240029032	0.12374526
A2RUT3	0	0.0264111293872341	0.0016183672	0.0	0.1158349706137359	0.1361544943545543	0.0	0.0021446645	0.0600105291786945	0.05241032
