UniprotID	Gene_Name	RBP_flag	protein_len	seqSVM_score	seqDNN_score	PPI_score	PIA_score	seqSVM_seqDNN_score	seqDNNseqSVM_PIA_score
A0A024R0L9	PSG11	0	219	0.023534522059914968	0.031112123	0.11904029980344775	0.12076604970216805	0.4039840298724217	0.4170396308212425
A0A024R0Y4	TADA2A	0	443	0.29065376714808355	0.11110395	0.2595300410382382	0.29398490742870537	0.5272446393718642	0.561491418169783
A0A024R1L7	hCG_41307	0	135	0.014311423218258491	0.03708747	0.151867962465893	0.2043700219485184	0.4018057829494065	0.4568706741576611
A0A024R275	RFK	0	162	0.8676660306010171	0.04241601	0.17689447870605562	0.2679935866906255	0.764568709294102	0.7306423683528095
A0A024R493	EFHD1	0	239	0.27236938499023605	0.4892428	0.11758428160987935	0.1252907249676697	0.6052144329094509	0.5493142942776372
A0A024R4B0	SPATA3	0	183	0.05565430726066903	0.019872656000000002	0.04752958255655482	0.039216906010024886	0.4128012166465548	0.3804242639510933
A0A024R4Q5	TFPT	0	253	0.2557642412708037	0.24062409	0.18787747923617207	0.1446520720356764	0.5728330330331017	0.532744378175034
A0A024R4S4	ZNF542	0	241	0.03213106107027063	0.0038382441	0.12168807031495915	0.09417286372949832	0.3847066671717838	0.3970365153753809
A0A024R4Z4	hCG_2039447	0	569	0.7487666163624631	0.6762166999999999	0.1087720829746409	0.10181853953781764	0.7607419056865904	0.6855951460956576
A0A024R5S0	hCG_2003792	0	98	0.042683499507251935	0.25293627	0.16647765782447624	0.1216084931417404	0.5076280757450597	0.4786988012275761
A0A024R644	CLN5	0	407	0.13371128989597375	0.045942124	0.019046107800362262	0.02676524282180558	0.4653679762809093	0.4115730593093827
A0A024R6G0	TCL6	0	141	0.2084137882615565	0.05935771	0.1268360572860151	0.12980865199289496	0.4948916629745127	0.4743006144920814
A0A024R8A9	USP20	0	916	0.27646366431805103	0.300667	0.09077466043155097	0.08326384958583337	0.585820878556693	0.5175592088234611
A0A024R8L2	hCG_1987119	0	487	0.12961677525325227	0.06260695	0.09929499363250546	0.08990193141965556	0.4703916481887065	0.4422745751095997
A0A024R9F6	hCG_1810825	0	149	0.5128798280171818	0.33473817	0.26307873498089224	0.3847336297662713	0.6520729265424793	0.6703474464513337
A0A024RA76	hCG_1744368	0	81	0.3600604903963633	0.9288823	0.30756721054886743	0.2710758005827147	0.7892885389894866	0.7568790044024755
A0A024RC46	hCG_2020860	0	320	0.9458982413170304	0.9666526	0.4455362447506598	0.6747841131895925	0.9451786069801328	0.9613987305706596
A0A024RDU4	hCG_27742	0	55	0.3447095413856285	0.058948543	0.1517883344213405	0.20706854899768992	0.5318988129493447	0.5313750218239465
A0A087WSW0	HELT	0	327	0.11759736706332073	0.11790405	0.13471689067293366	0.12529676125865705	0.4757752047606383	0.4604037178791914
A0A087WUI6	PIBF1	0	698	0.07071421204213563	0.32811242	0.2953437292887265	0.2366396299951747	0.5321714652191243	0.5434651000973048
A0A087WUM8	ZNF446	0	422	0.07626505760117208	0.05035881	0.11681616628505315	0.06498098974411294	0.4448487243158866	0.4147236931891787
A0A087WVE9	ARNT2	0	716	0.605361117667688	0.42095232	0.12080961474066405	0.10299526960986913	0.6878427798129967	0.6110281880599175
A0A087WX54	ZNF385C	1	424	0.7972301014017577	0.7736945	0.2319856369155037	0.3581746910189709	0.7968716786024908	0.7851079779476272
A0A087WXL1	FOLR3	0	245	0.0224948377317346	0.055174127	0.10742306975965754	0.09128068525005187	0.4178730229679433	0.4092558523854499
A0A087WY89	KRTAP4-1	0	127	0.012466410269777413	0.0052615386	0.09438435293689844	0.060887125846474974	0.3738648174566762	0.37549308915004176
A0A087WYA8	RALGAPA2	0	237	0.4904120179316978	0.08765959	0.15060657386989607	0.18725323691801365	0.5816767843168417	0.5541276020214203
A0A087WZT3	BOLA2	0	152	0.0652301105782164	0.886073	0.06398321952835202	0.06802454227163228	0.66126586006295	0.5729445613222162
A0A087WZU1	PTPRQ	0	2299	0.20285634658176785	0.5644876	0.29248890053075083	0.21468729981630968	0.5997792776320191	0.5787499825357807
A0A087WZY1		0	265	0.11212015812885592	0.030102216	0.13069119977251034	0.05986878017545809	0.44738731685923616	0.4128202480798429
A0A090N7T1	LOC401431	0	144	0.04758720072998397	0.06690949	0.439678439196866	0.3085617881593895	0.4355146861009065	0.5182282794501749
A0A0A0MQZ8	ANKHD1	1	866	0.7972057590382059	0.76448065	0.13878999464830402	0.16733047881675284	0.7960883276696047	0.7439757662549091
A0A0A0MR69	CCDC88C	0	506	0.26293214403368736	0.20686848	0.14807095985279015	0.14958128864962764	0.5707272622870275	0.5332698229310006
A0A0A0MR80	EP400	0	985	0.35732728610078673	0.20123819	0.2095037326139199	0.15163279807754973	0.5915944551739102	0.5491368954249356
A0A0A0MR97	BAZ2B	1	643	0.8318303960240613	0.7638046	0.231260054066113	0.16897867657252386	0.8157373715082614	0.7714101159242858
A0A0A0MS80	TMEM80	0	216	0.05424392849706453	0.028478034	0.12950493191846446	0.13567869667325552	0.41933523150084506	0.4306574944294389
A0A0B4J1Y2		0	1143	0.07625388340847196	0.064552724	0.15757495946552733	0.21768995914800635	0.4502608341182012	0.4879157579032885
A0A0B4J1Z1	SRSF7	1	137	0.8749301802470122	0.81979096	0.4105205565192414	0.4717373522159352	0.8464245694646639	0.8628062133460771
A0A0B4J233	RBP5	0	97	0.2448452089870537	0.09404767	0.2286296812798847	0.3785804038094119	0.5128086448607881	0.5885800584887673
A0A0B4J269	TBB3	0	797	0.07622221045499837	0.16899139	0.3642979054634959	0.4489986704062247	0.5110811931982284	0.6158462065485274
A0A0B4J295	BOLA2-SMG1P6	0	124	0.05295103714537448	0.110136844	0.13485862052782496	0.14087929626286555	0.4466024135924597	0.4517230340453138
A0A0B4J299	WNK1	0	434	0.053605258146494916	0.06505761	0.14090829357298998	0.17264700760307278	0.43850098725707387	0.4603125515816554
A0A0C3SFZ9	FCHO1	0	891	0.16924370559465132	0.09165173	0.22634299816261216	0.1952293570641948	0.4890761553679441	0.4997561394635248
A0A0C4DFM2	ZNF574	0	986	0.04559423408613384	0.025559809	0.095665766593596	0.08274511080403757	0.4127734113325591	0.4031215622941449
A0A0C4DFN3	MGLL	0	313	0.1454778484835339	0.06899727	0.12289361395684865	0.135855502780899	0.47751625550162	0.4667424612927814
A0A0C4DFQ0		0	1132	0.5523590051214465	0.0890214	0.2595300410382382	0.29398490742870537	0.6084479627374553	0.6117963926577914
A0A0C4DFQ7	KCNIP1	0	216	0.365550677260842	0.11088652	0.08265657944810245	0.08582732241847132	0.5460880869837373	0.4902420669180524
A0A0C4DFT7	GYPA	0	150	0.05713252196143773	0.040098224	0.1048028193007607	0.11266562854750575	0.428478549137137	0.4258260668563458
A0A0C4DFT8	JADE2	0	791	0.2433789866506865	0.18068784	0.3978754997532623	0.3670397234820924	0.5615769880984576	0.6090464702943832
A0A0C4DFY0	SELPLG	0	402	0.08249911706277457	0.037677508	0.1934702726356163	0.30357892138114057	0.43987491977776816	0.5182485717060448
A0A0C4DFY5	GPRC5C	0	486	0.010644284264316987	0.01978811	0.11234757530357203	0.10620307689332137	0.3860208143255184	0.4031645399148004
A0A0C4DG38	ING3	0	99	0.2284377286802819	0.13312694	0.04389985483272037	0.0502181366318006	0.5116092116442195	0.4498182495456434
A0A0C4DG62	ARL6IP4	1	218	0.859013510315348	0.97303873	0.4898142401820635	0.3440983670877787	0.9168696216923476	0.9109149117531892
A0A0C4DG91	NME6	0	194	0.2430152798628829	0.059220932000000004	0.14073670507853284	0.19283119970111545	0.5042434697717639	0.5076454317814679
A0A0C4DG94	ATP11B	0	195	0.2602137896106779	0.09444609	0.1317865282173588	0.15029085397363262	0.5163717936655736	0.4973887876625222
A0A0C4DGF1	ZBTB32	0	302	0.05739158691024075	0.06509106	0.2770046993978999	0.2095142359111456	0.4402220217606457	0.4784354213500829
A0A0C4DGJ5	PTCH1	0	183	0.10423726241213653	0.017408382	0.1011959809791614	0.08024462015882387	0.4347213977525882	0.4151766463588573
A0A0C4DGM4	HYKK	0	226	0.19556034190513727	0.07376407	0.13382748468336175	0.16395860182628202	0.4945692089741307	0.4897730029111995
A0A0C4DGQ3	ZNF556	0	455	0.0762994560528245	0.032500297000000004	0.1268360572860151	0.12980865199289496	0.4339392424148635	0.4370063283053621
A0A0C4DGQ7	EML2	0	427	0.2738481177113529	0.5728541	0.3867904653062136	0.3577817771622148	0.6167756239883457	0.639585570686521
A0A0C4DGT3	IQSEC1	0	814	0.1121105536487214	0.08378908	0.14815619383646805	0.19535434608456365	0.4692772469368327	0.4886668694596484
A0A0C4DGV4	LAMTOR5	0	173	0.1132818383268711	0.08636459	0.05085270880350515	0.06031783804596313	0.4704883613604157	0.42727805021642495
A0A0C4DGW0	NDFIP2	0	242	0.03014970672111567	0.009379728	0.12917035915807384	0.16114190491124766	0.3904877318011153	0.4321201755317005
A0A0C4DGW6	C5orf51	0	152	0.02310591993305769	0.15828148	0.12138936507885735	0.09625729171341273	0.4823789057835721	0.4523822292119157
A0A0C4DGW7	FAM47A	0	778	0.07628153982867057	0.14760262	0.1526226010470764	0.2013106476551208	0.4625184763881237	0.4878304349818103
A0A0G2JHK4	DDR1	0	139	0.0730210148630525	0.52449876	0.13525689573463726	0.1351874067672031	0.5562567321394171	0.5170460367693686
A0A0G2JJL1	WDR46	1	322	0.7970589232165122	0.7348076	0.30143120799872664	0.471933065253876	0.7918339212551315	0.8041139813677417
A0A0S2Z377	ANXA6	0	667	0.8313298449922164	0.65984935	0.3590667422086256	0.5721330198379375	0.8031895017347741	0.842126285402403
A0A0S2Z4U3	SDC3	0	370	0.05758170867601853	0.07257067	0.03996656164209842	0.033094250368415394	0.4420919311562184	0.3978358620331584
A0A1B0GTW0	DWORF	0	35	0.003936553919054144	0.012266283000000001	0.027536999587438042	0.028810702116427868	0.3748876911075945	0.3617456323490291
A0A1B0GVM0	BEGAIN	0	812	0.16210185286808773	0.068374515	0.2089654546225785	0.3328432689686666	0.4815890136465426	0.5500727829621448
A0A1B0GWI1	CCDC196	0	215	0.2580371139767415	0.32195646	0.10231541744503136	0.08563768608489808	0.5837144171902706	0.5171507965001331
A0A1P0AYU5	SFXN3	0	325	0.16379401756858192	0.14972399	0.11612424422252925	0.1133614621720851	0.5351524967142118	0.4943617845053998
A0AUL9	ATG2A	0	514	0.003987988213588569	0.0007282839	0.3590892831937226	0.3035649016369207	0.3582738071609104	0.4884624340228826
A0AUY0	RABL2A	0	224	0.11947054207221094	0.13580222	0.3338025718296325	0.5512550794328633	0.47832078706702	0.6534006178019542
A0AUZ9	KANSL1L	0	987	0.2449902604504529	0.06817728	0.16246717898569968	0.0909108028029566	0.5070575608046228	0.4656347297222228
A0AV02	SLC12A8	0	714	0.07510607440497051	0.016364096	0.15374818022780504	0.4350870712612235	0.4208123016261356	0.5676046790997161
A0AV96	RBM47	1	593	0.9953589781356882	0.8825801	0.6508045212584532	0.6909950926921912	1.0	1.0
A0AVF1	TTC26	0	554	0.668055981682219	0.43110365	0.2386162952669524	0.13617273247144146	0.7084670497913991	0.6395114726374908
A0AVG3	TSNARE1	0	514	0.20622265469977769	0.07437539	0.121337755801827	0.14501458169367182	0.4987637227396773	0.4840236749981838
A0AVI4	TMEM129	0	362	0.050964187955616906	0.055952407	0.3025721535813985	0.2654242613745494	0.4341539667711628	0.4986854875297208
A0AVJ2	AGBL4	0	268	0.08754429081106258	0.23649846	0.1298094439738413	0.13805854995190053	0.5248906923951462	0.497479520467099
A0AVK6	E2F8	0	867	0.4079239443778673	0.1840258	0.13519136154169253	0.33844240594627634	0.6017990687987587	0.6216324547753297
A0AVN2	BARD1	1	777	0.7810265878649619	0.8397645	0.20229383607720688	0.14552787916891005	0.80091743343861	0.7453593172812479
A0AVT1	UBA6	1	1052	0.7972041629783009	0.882632	0.7216812753438279	0.6027267799652976	0.8244204413934256	0.8682051227110472
A0FGR8	ESYT2	1	921	0.669685915307321	0.68431866	0.7611662756433174	0.7279221520803144	0.7311462140035749	0.8537704252596108
A0FGR9	ESYT3	0	886	0.2917489871971138	0.020308279	0.3512642272976746	0.1889468910336364	0.4982149867263336	0.5019509797219238
A0FGX0	SPANXC	0	97	0.2772453504604017	0.12454098	0.1608732751852816	0.21593308793457247	0.5245385420953024	0.5296098311193242
A0JLT2	MED19	0	244	0.6787296432952814	0.7911746999999999	0.6606591941338282	0.5331506408286847	0.7513843891315146	0.7868574577349176
A0JLT9	SF3B1	1	496	0.9012708071205612	0.9460188	0.3736814042983688	0.5997723337068895	0.9255729388544226	0.9374368717187176
A0JLV8	ZN586	0	402	0.059333482047435375	0.002942477	0.09062504789261064	0.04353489811325685	0.3978110467877996	0.3758525831566704
A0JNW5	UH1BL	0	1464	0.07627368084450409	0.15251428	0.7077050618545918	0.6061863421770456	0.507614898678427	0.6982351057763216
A0JP07	KIAA1683	0	794	0.07127283539675626	0.119692475	0.1176815129135667	0.11049258102755297	0.4575376719247838	0.4440167669019301
A0M8Q6	IGLC7	0	106	0.07193687957065452	0.16513738	0.14692187886060376	0.20950295183916007	0.5081016776699401	0.5169576817507748
